"date","time","visitor","visitor_pts","home","home_pts","season","date2","home_location","visitor_location"
"Sat, Dec 5, 2015","5:00 pm","Golden State Warriors","112","Toronto Raptors","109",2016,2015-12-05,"Toronto","Golden State"
"Mon, Feb 22, 2016","7:00 pm","Detroit Pistons","96","Cleveland Cavaliers","88",2016,2016-02-22,"Cleveland","Detroit"
"Wed, Mar 16, 2016","7:00 pm","Orlando Magic","99","Charlotte Hornets","107",2016,2016-03-16,"Charlotte","Orlando"
"Mon, Mar 7, 2016","7:00 pm","Minnesota Timberwolves","103","Charlotte Hornets","108",2016,2016-03-07,"Charlotte","Minnesota"
"Sun, Apr 10, 2016","12:00 pm","Charlotte Hornets","98","Washington Wizards","113",2016,2016-04-10,"Washington D.C.","Charlotte"
"Wed, Dec 2, 2015","8:00 pm","Denver Nuggets","90","Chicago Bulls","99",2016,2015-12-02,"Chicago","Denver"
"Wed, Mar 9, 2016","7:00 pm","Memphis Grizzlies","96","Boston Celtics","116",2016,2016-03-09,"Boston","Memphis"
"Sat, Dec 26, 2015","5:00 pm","Toronto Raptors","111","Milwaukee Bucks","90",2016,2015-12-26,"Milwaukee","Toronto"
"Tue, Nov 10, 2015","7:30 pm","Los Angeles Lakers","88","Miami Heat","101",2016,2015-11-10,"Miami","Los Angeles"
"Thu, Jan 14, 2016","7:00 pm","Chicago Bulls","115","Philadelphia 76ers","111",2016,2016-01-14,"Philadelphia","Chicago"
